video_file,label,frame_num,vehicle_id,class_name,centroid_x,centroid_y,bbox_width,bbox_height,speed_px_per_frame,avg_speed_5f,speed_drop_percent,direction_degrees,iou_with_nearest,trajectory_deviation_px,optical_flow_ratio,total_factor_score
sampleC.mp4,accident,112,1,car,455,172,72,69,1.0,0.6,0.0,90.0,0.0,1.0,1.3136,0
sampleC.mp4,accident,112,25,car,333,159,79,65,0.0,1.083,0.0,0.0,0.0,3.0,1.3136,0
sampleC.mp4,accident,113,1,car,455,173,72,69,1.0,0.6,0.0,90.0,0.0,0.0,1.2382,0
sampleC.mp4,accident,113,5,car,311,85,29,23,2.236,0.647,0.0,63.43,0.0,2.0,1.2382,0
sampleC.mp4,accident,113,25,car,334,160,81,67,1.414,1.366,0.0,45.0,0.0,1.414,1.2382,0
sampleC.mp4,accident,114,1,car,455,174,72,68,1.0,0.8,0.0,90.0,0.0,0.0,0.92,0
sampleC.mp4,accident,114,25,car,335,160,83,67,1.0,1.366,26.12,0.0,0.0,1.0,0.92,0
sampleC.mp4,accident,115,1,car,456,174,72,68,1.0,0.8,0.0,0.0,0.0,1.414,0.7047,0
sampleC.mp4,accident,115,25,car,334,160,83,67,1.0,1.283,7.65,180.0,0.0,2.0,0.7047,0
sampleC.mp4,accident,115,30,person,254,98,17,34,0.0,0.0,0.0,0.0,0.0,0.0,0.7047,0
sampleC.mp4,accident,116,1,car,456,174,72,68,0.0,0.8,0.0,0.0,0.0,1.0,0.6649,0
sampleC.mp4,accident,116,25,car,334,160,82,66,0.0,0.683,100.0,0.0,0.0,1.0,0.6649,2
sampleC.mp4,accident,116,30,person,256,99,17,34,2.236,1.118,0.0,26.57,0.0,0.0,0.6649,0
sampleC.mp4,accident,117,1,car,455,175,72,69,1.414,0.883,0.0,135.0,0.0,1.414,0.5654,0
sampleC.mp4,accident,117,25,car,334,160,81,65,0.0,0.683,100.0,0.0,0.0,0.0,0.5654,2
sampleC.mp4,accident,118,1,car,455,175,72,69,0.0,0.683,0.0,0.0,0.0,1.414,0.4444,0
sampleC.mp4,accident,118,25,car,333,160,79,64,1.0,0.6,22.048,180.0,0.0,1.0,0.4444,0
sampleC.mp4,accident,119,1,car,455,175,73,69,0.0,0.483,0.0,0.0,0.0,0.0,0.8011,0
sampleC.mp4,accident,119,25,car,335,160,80,64,2.0,0.8,0.0,0.0,0.0,3.0,0.8011,0
sampleC.mp4,accident,120,1,car,456,175,72,69,1.0,0.483,0.0,0.0,0.0,1.0,0.7485,0
sampleC.mp4,accident,121,1,car,456,174,73,70,1.0,0.683,0.0,-90.0,0.0,1.414,1.0109,0
sampleC.mp4,accident,123,25,car,333,161,80,64,2.236,1.047,0.0,153.43,0.0,4.123,1.9736,0
sampleC.mp4,accident,126,5,car,312,87,25,22,2.236,1.094,0.0,63.43,0.0,0.0,1.1708,0
sampleC.mp4,accident,131,33,motorcycle,75,126,49,35,0.0,0.0,0.0,0.0,0.0,0.0,1.0033,0
sampleC.mp4,accident,132,33,motorcycle,75,127,47,34,1.0,0.5,0.0,90.0,0.0,0.0,0.492,0
sampleC.mp4,accident,134,33,motorcycle,69,127,50,36,6.0,2.333,0.0,180.0,0.0,6.083,0.7843,0
sampleC.mp4,accident,147,5,car,307,86,26,22,5.099,2.114,0.0,-168.69,0.0,6.708,1.4665,0
sampleC.mp4,accident,150,1,car,453,174,71,67,3.0,1.0,0.0,180.0,0.0,3.162,0.8413,0
sampleC.mp4,accident,151,25,car,328,162,83,67,5.099,2.067,0.0,168.69,0.0,3.0,1.359,0
sampleC.mp4,accident,152,25,car,328,162,83,68,0.0,2.067,0.0,0.0,0.0,5.099,0.5302,0
sampleC.mp4,accident,155,25,car,329,161,82,67,1.414,2.15,0.0,-45.0,0.0227,1.414,0.9796,0
sampleC.mp4,accident,155,34,person,379,187,26,64,0.0,0.0,0.0,0.0,0.0227,0.0,0.9796,0
sampleC.mp4,accident,156,25,car,330,161,83,67,1.0,1.95,51.621,0.0,0.0336,1.0,1.0728,0
sampleC.mp4,accident,156,34,person,380,186,27,66,1.414,0.707,0.0,-45.0,0.0336,0.0,1.0728,0
sampleC.mp4,accident,157,25,car,331,161,83,67,1.0,1.703,51.621,0.0,0.0442,0.0,1.8039,0
sampleC.mp4,accident,157,34,person,379,186,28,67,1.0,0.805,0.0,180.0,0.0442,2.236,1.8039,0
sampleC.mp4,accident,158,25,car,330,162,84,68,1.414,0.966,34.218,135.0,0.0479,2.236,0.767,0
sampleC.mp4,accident,158,34,person,379,186,29,69,0.0,0.604,0.0,0.0,0.0479,1.0,0.767,0
sampleC.mp4,accident,159,34,person,379,186,29,70,0.0,0.483,0.0,0.0,0.0,0.0,1.4477,0
sampleC.mp4,accident,160,5,car,303,87,28,23,4.123,2.939,0.0,165.96,0.0,2.236,0.9134,0
sampleC.mp4,accident,160,25,car,330,162,84,68,0.0,0.966,100.0,0.0,0.0502,1.414,0.9134,2
sampleC.mp4,accident,160,34,person,379,186,29,71,0.0,0.483,0.0,0.0,0.0502,0.0,0.9134,0
sampleC.mp4,accident,161,5,car,303,88,28,23,1.0,2.939,8.628,90.0,0.0,4.0,1.0532,0
sampleC.mp4,accident,161,25,car,329,162,84,67,1.0,0.883,41.268,180.0,0.034,1.0,1.0532,0
